B_rad vs Angle
Distance*360/2/pi/17.5e-3 [meter]
BN3 []
__cartesian__ 0 0 0.000000 -0.556325 360.000000 0.556066
__settings__ 1 0 0 0 11 11 0 0 0 0
321.12 0.348974
321.48 0.346234
321.84 0.343504
322.2 0.340784
322.56 0.338283
322.92 0.335616
323.28 0.332705
323.64 0.329796
324 0.326889
324.36 0.323985
324.72 0.321084
325.08 0.318187
325.44 0.315328
325.8 0.312706
326.16 0.309839
326.52 0.306932
326.88 0.304018
327.24 0.301087
327.6 0.29808
327.96 0.29505
328.32 0.291997
328.68 0.28892
329.04 0.285953
329.4 0.282971
329.76 0.279979
330.12 0.276978
330.48 0.273966
330.84 0.270945
331.2 0.267913
331.56 0.264871
331.92 0.261889
332.28 0.258723
332.64 0.255556
333 0.252389
333.36 0.249222
333.72 0.246055
334.08 0.242889
334.44 0.239746
334.8 0.236944
335.16 0.233821
335.52 0.230554
335.88 0.227287
336.24 0.224023
336.6 0.220762
336.96 0.217504
337.32 0.214251
337.68 0.211213
338.04 0.208116
338.4 0.204792
338.76 0.20147
339.12 0.198153
339.48 0.194842
339.84 0.191537
340.2 0.188239
340.56 0.184951
340.92 0.181706
341.28 0.178468
341.64 0.175251
342 0.172054
342.36 0.16888
342.72 0.165416
343.08 0.161949
343.44 0.158499
343.8 0.155064
344.16 0.151644
344.52 0.14824
344.88 0.14485
345.24 0.14168
345.6 0.138424
345.96 0.134983
346.32 0.131545
346.68 0.128109
347.04 0.124677
347.4 0.121248
347.76 0.117823
348.12 0.114403
348.48 0.110987
348.84 0.107577
349.2 0.104173
349.56 0.100775
349.92 0.09738
350.28 0.0939103
350.64 0.0904391
351 0.0869669
351.36 0.0834944
351.72 0.0800224
352.08 0.0765515
352.44 0.0730824
352.8 0.0696157
353.16 0.0661521
353.52 0.0626923
353.88 0.0593462
354.24 0.0560788
354.6 0.0525199
354.96 0.0489711
355.32 0.0454327
355.68 0.041905
356.04 0.0383883
356.4 0.0348829
356.76 0.0313889
357.12 0.0279066
357.48 0.0244362
357.84 0.0209779
358.2 0.017532
358.56 0.014055
358.92 0.0105333
359.28 0.00702324
359.64 0.00352518
360 -1.61998e-006
BN3 []
__settings__ -1 8 2 0 1 1
